22/9/2023;8;432112794536509440
21/9/2023;22;432112794536509440
21/9/2023;22;475638917362876456
21/9/2023;16;432112794536509440
21/9/2023;9;475638917362876456
21/9/2023;9;432112794536509440
21/9/2023;7;475638917362876456
20/9/2023;19;432112794536509440
20/9/2023;18;432112794536509440
20/9/2023;17;432112794536509440
20/9/2023;15;475638917362876456
20/9/2023;14;432112794536509440
20/9/2023;14;475638917362876456
20/9/2023;13;475638917362876456
20/9/2023;13;432112794536509440
20/9/2023;8;475638917362876456
19/9/2023;23;931688514498732123
19/9/2023;23;432112794536509440
19/9/2023;23;475638917362876456
19/9/2023;22;432112794536509440
19/9/2023;22;475638917362876456
19/9/2023;21;931688514498732123
19/9/2023;21;432112794536509440
19/9/2023;20;432112794536509440
19/9/2023;19;432112794536509440
19/9/2023;17;432112794536509440
19/9/2023;17;475638917362876456
19/9/2023;7;432112794536509440
18/9/2023;20;432112794536509440
18/9/2023;9;931688514498732123
18/9/2023;9;432112794536509440
17/9/2023;19;432112794536509440
17/9/2023;13;432112794536509440
17/9/2023;10;432112794536509440
16/9/2023;14;475638917362876456
16/9/2023;9;931688514498732123
16/9/2023;9;475638917362876456
16/9/2023;0;931688514498732123
16/9/2023;0;432112794536509440
15/9/2023;22;432112794536509440
15/9/2023;12;475638917362876456
15/9/2023;11;432112794536509440
15/9/2023;8;432112794536509440
15/9/2023;8;475638917362876456
13/9/2023;15;432112794536509440
12/9/2023;18;432112794536509440
12/9/2023;16;432112794536509440
12/9/2023;7;432112794536509440
11/9/2023;22;432112794536509440
11/9/2023;19;432112794536509440
10/9/2023;17;432112794536509440
10/9/2023;12;432112794536509440
10/9/2023;0;432112794536509440
10/9/2023;0;475638917362876456
10/9/2023;0;931688514498732123
9/9/2023;19;432112794536509440
9/9/2023;13;432112794536509440
9/9/2023;10;432112794536509440
8/9/2023;17;432112794536509440
6/9/2023;22;643039904972013578
6/9/2023;22;432112794536509440
6/9/2023;18;432112794536509440
5/9/2023;22;432112794536509440
5/9/2023;14;475638917362876456
5/9/2023;10;931688514498732123
5/9/2023;10;475638917362876456
5/9/2023;10;432112794536509440
4/9/2023;11;432112794536509440
3/9/2023;15;432112794536509440
2/9/2023;18;432112794536509440
2/9/2023;14;475638917362876456
2/9/2023;14;232892793381453825
2/9/2023;0;432112794536509440
1/9/2023;11;432112794536509440
31/8/2023;21;475638917362876456
31/8/2023;21;432112794536509440
31/8/2023;20;432112794536509440
31/8/2023;12;475638917362876456
31/8/2023;12;432112794536509440
30/8/2023;23;931688514498732123
30/8/2023;23;475638917362876456
30/8/2023;0;475638917362876456
